INDEX,Part Number,Description,Quantitiy,Unit Price
1,N/A,24V Fixture Board,1,12.26
2,N/A,https://www.ebay.co.uk/itm/276693351932?_skw=frosted+round+rigid+polycarbonate+tube&itmmeta=01K04KKFDF3AJ286QVF0MJMHY5&hash=item406c357dfc%3Ag%3AltAAAOSwSiBnE-rc&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f7aXwdpIx9IYPY3Br8vi7vcu88WAFKXgSIObTo99wU94qLx%2F4q%2B8mSy8yiOFfK2O9yquNEseovPOWru4rv4ONDsM%2FCkBpKu4MNbLXtH8TfDre93db7qzknJPlWCpg3coSkv4xKbH2xQ5bO3E0Tuu97E%2F3SG4%2FbP1yk3JdD4ooG5DHvHmOt1lcXt3%2F71JB3%2FbCF74wIcgGMwe5mazzk4QTK2%2B6wlIg3E3qEpVTSkJJrFB8WyLjw0a2LjLRXMIImqgTV%2BJngFIAjqnugciSfxVUS%7Ctkp%3ABk9SR-72zZOBZg&var=2560126467598,1,20.21
3,WS2811-FCOB,https://www.aliexpress.com/item/1005008502347105.html?algo_exp_id=5c1c1235-e70a-4246-a32f-a700219098fe-4&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis!GBP!10.65!5.05!!!14.16!6.72!%4021038df617509815831908318e4312!12000045561188117!sea!UK!0!ABX&curPageLogUid=G9q3zAPoAXfc&utparam-url=scene%3Asearch%7Cquery_from%3A,1,14.57
